Loss,Accuracy,Val_Loss,Val_Accuracy
0.705271213,0.702137619,0.523964107,0.816028226
0.500371525,0.832735216,0.499902374,0.825100806
0.47398184,0.833427602,0.480070489,0.822580645
0.44096707,0.831521103,0.437985482,0.830645161
0.414622447,0.831189538,0.42127897,0.828629032
0.409674883,0.829595101,0.419240474,0.830141129
0.40875658,0.829356179,0.418543749,0.830645161
0.408395755,0.829419566,0.418242996,0.831653226
0.408121387,0.829614604,0.417998887,0.832157258
0.407840045,0.830672687,0.417212231,0.833165323
0.40751761,0.831833164,0.416750801,0.833165323
0.407263819,0.832725464,0.415998712,0.834173387
0.406878633,0.832940006,0.415355923,0.834173387
0.406567231,0.834319902,0.414660273,0.83266129
0.406187921,0.834631963,0.414100108,0.834677419
0.405757421,0.834661219,0.413181824,0.833669355
0.405317066,0.835148814,0.41258758,0.835181452
0.404860274,0.835260961,0.412053763,0.836189516
0.404255905,0.835914339,0.411482829,0.836693548
0.403770249,0.836796887,0.410648486,0.837701613
